grp_id,grp_nombre,grp_habilitado,grp_asi_id,grp_doc_id
1,GRUPO - 15,t,1,1
2,GRUPO - 9,t,2,2
3,GRUPO - 16,t,3,3
4,GRUPO - 9,t,4,4
5,GRUPO - 2,t,5,5
6,GRUPO - 8,t,4,6
7,GRUPO - 37,t,1,1
8,GRUPO - 10,t,5,5
9,GRUPO - 28,t,3,7
10,GRUPO - 29,t,1,1
11,GRUPO - 4,t,3,7
12,GRUPO - 1,t,5,8
13,GRUPO - 12,t,3,7
14,GRUPO - 8,t,2,9
15,GRUPO - 28,t,1,10
16,GRUPO - 18,t,1,1
17,GRUPO - 8,t,1,11
18,GRUPO - 2,t,6,12
19,GRUPO - 14,t,3,13
20,GRUPO - 25,t,1,14
21,GRUPO - 9,t,1,1
22,GRUPO - 53,t,1,15
23,GRUPO - 4,t,1,15
24,GRUPO - 15,t,3,16
25,GRUPO - 34,t,1,17
26,GRUPO - 48,t,1,18
27,GRUPO - 13,t,3,19
28,GRUPO - 49,t,1,20
29,GRUPO - 2,t,1,21
30,GRUPO - 4,t,5,22
31,GRUPO - 50,t,1,23
32,GRUPO - 45,t,7,24
33,GRUPO - 9,t,5,25
34,GRUPO - 35,t,1,26
35,GRUPO - 16,t,4,27
36,GRUPO - 17,t,1,28
37,GRUPO - 32,t,3,29
38,GRUPO - 12,t,5,30
39,GRUPO - 16,t,1,14
40,GRUPO - 51,t,1,31
41,GRUPO - 1,t,1,15
42,GRUPO - 14,t,1,32
43,GRUPO - 16,t,2,33
44,GRUPO - 37,t,3,34
45,GRUPO - 17,t,2,35
46,GRUPO - 27,t,3,36
47,GRUPO - 1,t,6,37
48,GRUPO - 40,t,7,38
49,GRUPO - 47,t,1,11
50,GRUPO - 3,t,5,22
51,GRUPO - 19,t,2,37
52,GRUPO - 42,t,1,39
53,GRUPO - 20,t,4,40
54,GRUPO - 7,t,1,41
55,GRUPO - 45,t,1,39
56,GRUPO - 3,t,4,4
57,GRUPO - 10,t,3,36
58,GRUPO - 32,t,1,21
59,GRUPO - 1,t,8,42
60,GRUPO - 4,t,9,43
61,GRUPO - 43,t,1,39
62,GRUPO - 52,t,1,31
63,GRUPO - 41,t,1,39
64,GRUPO - 11,t,1,21
65,GRUPO - 19,t,4,33
66,GRUPO - 3,t,1,21
67,GRUPO - 24,t,1,44
68,GRUPO - 2,t,7,38
69,GRUPO - 19,t,1,14
70,GRUPO - 10,t,4,27
71,GRUPO - 6,t,2,45
72,GRUPO - 12,t,1,32
73,GRUPO - 39,t,1,44
74,GRUPO - 38,t,1,21
75,GRUPO - 33,t,3,46
76,GRUPO - 3,t,7,47
77,GRUPO - 36,t,1,44
78,GRUPO - 15,t,4,48
79,GRUPO - 15,t,2,30
80,GRUPO - 30,t,7,3
81,GRUPO - 30,t,1,21
82,GRUPO - 35,t,3,7
83,GRUPO - 24,t,3,3
84,GRUPO - 1,t,10,42
85,GRUPO - 2,t,11,49
86,GRUPO - 29,t,7,38
87,GRUPO - 2,t,12,40
88,GRUPO - 2,t,2,50
89,GRUPO - 41,t,3,36
90,GRUPO - 27,t,1,28
91,GRUPO - 11,t,3,36
92,GRUPO - 5,t,4,2
93,GRUPO - 6,t,4,40
94,GRUPO - 7,t,7,51
95,GRUPO - 6,t,13,52
96,GRUPO - 22,t,3,34
97,GRUPO - 1,t,14,53
98,GRUPO - 1,t,13,52
99,GRUPO - 16,t,15,54
100,GRUPO - 11,t,9,55
101,GRUPO - 7,t,13,56
102,GRUPO - 1,t,11,57
103,GRUPO - 2,t,13,58
104,GRUPO - 31,t,7,59
105,GRUPO - 28,t,7,38
106,GRUPO - 3,t,13,48
107,GRUPO - 12,t,15,60
108,GRUPO - 39,t,15,61
109,GRUPO - 38,t,7,24
110,GRUPO - 43,t,15,51
111,GRUPO - 5,t,13,27
112,GRUPO - 1,t,16,62
113,GRUPO - 9,t,12,33
114,GRUPO - 26,t,7,24
115,GRUPO - 3,t,12,63
116,GRUPO - 8,t,15,61
117,GRUPO - 3,t,6,12
118,GRUPO - 34,t,15,64
119,GRUPO - 15,t,7,3
120,GRUPO - 41,t,7,38
121,GRUPO - 6,t,12,40
122,GRUPO - 4,t,12,33
123,GRUPO - 1,t,17,65
124,GRUPO - 2,t,9,55
125,GRUPO - 1,t,18,62
126,GRUPO - 5,t,19,66
127,GRUPO - 2,t,20,67
128,GRUPO - 33,t,7,46
129,GRUPO - 25,t,7,24
130,GRUPO - 44,t,7,59
131,GRUPO - 21,t,15,47
132,GRUPO - 38,t,15,68
133,GRUPO - 14,t,21,13
134,GRUPO - 5,t,22,69
135,GRUPO - 2,t,23,37
136,GRUPO - 19,t,15,51
137,GRUPO - 1,t,9,70
138,GRUPO - 28,t,21,71
139,GRUPO - 1,t,24,72
140,GRUPO - 1,t,25,73
141,GRUPO - 1,t,26,73
142,GRUPO - 3,t,15,47
143,GRUPO - 28,t,15,54
144,GRUPO - 17,t,15,54
145,GRUPO - 20,t,15,51
146,GRUPO - 1,t,27,74
147,GRUPO - 24,t,21,71
148,GRUPO - 1,t,28,53
149,GRUPO - 1,t,23,75
150,GRUPO - 7,t,21,13
151,GRUPO - 27,t,15,36
152,GRUPO - 3,t,21,13
153,GRUPO - 23,t,15,64
154,GRUPO - 24,t,15,46
155,GRUPO - 2,t,29,76
156,GRUPO - 6,t,19,77
157,GRUPO - 29,t,20,67
158,GRUPO - 41,t,15,59
159,GRUPO - 35,t,15,54
160,GRUPO - 8,t,12,58
161,GRUPO - 1,t,29,78
162,GRUPO - 2,t,24,79
163,GRUPO - 2,t,19,77
164,GRUPO - 22,t,20,80
165,GRUPO - 2,t,22,75
166,GRUPO - 29,t,21,64
167,GRUPO - 21,t,21,81
168,GRUPO - 1,t,30,82
169,GRUPO - 25,t,20,83
170,GRUPO - 3,t,19,84
171,GRUPO - 4,t,19,77
172,GRUPO - 23,t,20,80
173,GRUPO - 27,t,21,51
174,GRUPO - 27,t,20,83
175,GRUPO - 26,t,20,83
176,GRUPO - 11,t,31,85
177,GRUPO - 22,t,21,16
178,GRUPO - 1,t,22,75
179,GRUPO - 20,t,20,80
180,GRUPO - 1,t,32,65
181,GRUPO - 1,t,33,75
182,GRUPO - 8,t,20,67
183,GRUPO - 1,t,19,86
184,GRUPO - 16,t,20,80
185,GRUPO - 10,t,31,87
186,GRUPO - 1,t,34,75
187,GRUPO - 1,t,35,73
188,GRUPO - 1,t,36,88
189,GRUPO - 9,t,31,85
190,GRUPO - 6,t,31,89
191,GRUPO - 5,t,37,90
192,GRUPO - 1,t,38,82
193,GRUPO - 1,t,39,65
194,GRUPO - 1,t,40,75
195,GRUPO - 1,t,41,88
196,GRUPO - 1,t,42,49
197,GRUPO - 4,t,31,91
198,GRUPO - 7,t,31,92
199,GRUPO - 5,t,31,93
200,GRUPO - 1,t,43,75
201,GRUPO - 12,t,44,94
202,GRUPO - 1,t,45,95
203,GRUPO - 4,t,37,90
204,GRUPO - 1,t,46,95
205,GRUPO - 1,t,47,78
206,GRUPO - 1,t,48,96
207,GRUPO - 1,t,49,97
208,GRUPO - 1,t,50,65
209,GRUPO - 7,t,44,98
210,GRUPO - 8,t,44,57
211,GRUPO - 2,t,37,90
212,GRUPO - 1,t,51,74
213,GRUPO - 1,t,52,82
214,GRUPO - 9,t,44,99
215,GRUPO - 1,t,53,8
216,GRUPO - 1,t,54,65
217,GRUPO - 1,t,54,73
218,GRUPO - 1,t,54,35
